Designator,Mid X,Mid Y,Rotation,Layer
AE2,82.92375,-133.885,0.0,top
C1,94.75,-141.25,270.0,top
C10,94.0,-157.75,270.0,top
C11,91.55,-165.75,0.0,top
C12,82.5,-137.75,0.0,top
C13,96.25,-141.3,90.0,top
C14,89.18,-136.0,180.0,top
C15,87.5,-144.5,270.0,top
C16,93.95,-138.5,180.0,top
C17,79.5,-146.8,90.0,top
C18,94.0,-135.75,0.0,top
C19,94.0,-137.0,0.0,top
C2,96.5,-136.5,0.0,top
C3,96.5,-137.65,0.0,top
C4,84.25,-151.33,90.0,top
C5,96.5,-138.75,0.0,top
C6,84.02,-135.75,0.0,top
C7,83.5,-151.75,90.0,top
C8,93.67,-159.75,180.0,top
C9,84.02,-136.75,0.0,top
D1,82.45,-135.75,0.0,top
D3,96.5,-159.0,270.0,top
D4,90.5,-142.5,90.0,top
J4,76.75,-154.47,180.0,top
J5,100.75,-154.47,180.0,top
L1,82.5,-152.75,90.0,top
L2,85.25,-150.5,90.0,top
L3,87.5,-146.8,90.0,top
L4,82.52,-136.75,180.0,top
R1,91.0,-167.0,180.0,top
R2,79.0,-142.5,90.0,top
R3,87.75,-167.0,90.0,top
R4,94.75,-163.75,0.0,top
R5,96.5,-165.75,0.0,top
U1,83.5,-145.25,90.0,top
U3,96.5,-171.25,270.0,top
U4,81.0,-171.25,90.0,top
U5,89.0,-154.5,90.0,top
USBC1,88.77375,-171.977544,0.0,top
X1,89.0,-138.75,0.0,top
